1,2,5,6,7,10,11,12,13,14,15,31,32,34,35,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,88,96,97,100,102,104
System.Time_Stamp,vtti.timestamp,vtti.accel_x,vtti.accel_y,vtti.accel_z,vtti.driver_button,vtti.elevation_gps,vtti.engine_rpm_instant,vtti.gyro_x,vtti.gyro_y,vtti.gyro_z,vtti.lane_distance_off_center,vtti.lane_width,vtti.left_line_right_distance,vtti.left_marker_probability,vtti.object_id_t0,vtti.object_id_t1,vtti.object_id_t2,vtti.object_id_t3,vtti.object_id_t4,vtti.object_id_t5,vtti.object_id_t6,vtti.object_id_t7,vtti.pdop,vtti.pedal_brake_state,vtti.pedal_gas_position,vtti.range_rate_x_t0,vtti.range_rate_x_t1,vtti.range_rate_x_t2,vtti.range_rate_x_t3,vtti.range_rate_x_t4,vtti.range_rate_x_t5,vtti.range_rate_x_t6,vtti.range_rate_x_t7,vtti.range_rate_y_t0,vtti.range_rate_y_t1,vtti.range_rate_y_t2,vtti.range_rate_y_t3,vtti.range_rate_y_t4,vtti.range_rate_y_t5,vtti.range_rate_y_t6,vtti.range_rate_y_t7,vtti.range_x_t0,vtti.range_x_t1,vtti.range_x_t2,vtti.range_x_t3,vtti.range_x_t4,vtti.range_x_t5,vtti.range_x_t6,vtti.range_x_t7,vtti.range_y_t0,vtti.range_y_t1,vtti.range_y_t2,vtti.range_y_t3,vtti.range_y_t4,vtti.range_y_t5,vtti.range_y_t6,vtti.range_y_t7,vtti.right_line_left_distance,vtti.right_marker_probability,vtti.speed_network,MobilEye.HeadwayMeasurement,MobilEye.HWWarningLevel,MobilEye.TSRWarningLevel,MobilEye.Speed,MobilEye.HWValid
1,0, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
2,1600, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
3,1807, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
4,1899,0.0326,-0.0029,-0.9454, , , ,1.300781,0.650391,9.430664, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
5,2000,-0.008,-0.058,-0.9367, , , ,0,-1.951172,9.105469, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,61.000001,0,1,0,16.944445,1
6,2099,-0.0602,-0.029,-1.0295, , , ,0.325195,1.625977,9.105469, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,61.000001,0,1,0,16.944445,1
7,2200,-0.0283,0.0493,-1.1252, , , ,0.975586,3.577148,9.105469, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,61.000001,0,1,0,16.944445,1
8,2299,0.0036,-0.029,-1.0585, , , ,1.300781,4.227539,9.430664, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,61.000001,0,1,0,16.944445,1
9,2400,0.0732,0.0116,-0.986, , , ,1.951172,0.325195,9.105469, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,61.000001,0,1,0,16.944445,1
10,2499,0.0181,-0.0348,-0.928, , , ,0.325195,-1.951172,9.105469, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,61.000001,0,1,0,16.944445,1
11,2600,-0.0544,-0.0116,-0.9947, , , ,0,0,9.105469,5.999999,0,0,0, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,0,0,61.000001,0,1,0,16.944445,1
12,2700,0.0384,-0.029,-0.9599, , , ,0.975586,1.300781,9.430664,5.999999,0,0,0, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,0,0, , , , , , 
13,2800,0.0297,0,-0.9599, , , , , , ,5.999999,0,0,0, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,0,0,61.000001,0,1,0,16.944445,1
14,2899,-0.0399,0.0203,-0.9657, , , ,0.975586,0,9.105469,5.999999,0,0,0, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,0,0,61.000001,0,1,0,16.944445,1
15,3000,-0.0196,0.058,-1.044, , , ,1.951172,0.650391,9.105469,5.999999,0,0,0, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,0,0,61.000001,0,1,0,16.944445,1
16,3099,0.0587,-0.0725,-0.9019, , , ,0.650391,0,9.105469,5.999999,0,0,0, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,0,0,61.000001,0,1,0,16.944445,1
17,3200,-0.0718,0.0087,-1.0121, , , ,1.625977,0,9.105469,5.999999,0,0,0, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,0,0,61.000001,0,1,0,16.944445,1
